N	Number	IDs	STRAIN	CULTURE_COLLECTION	ISOLATE	GENOTYPE	PLASMID	METAGENOME?	COMPLETENESS_ESTIMATED	CONTAMINATION_ESTIMATED	COLLECTED_BY	COLLECTION_DATE	COUNTRY (mixed up)	LAT_LON	HOST	HOST_SEX	HOST_AGE	ISOLATION_SOURCE	HOST_DISEASE	HOST_DISEASE_OUTCOME	ANTIBIOTICS	Bio Project	Pubmed	Length (T)	Complete?	Coverage	Seq Method	GCpercent	Length	Number of sequences	COUNTRY	CITY(or similar)	REGION/STATE	HOSPITAL	Comentario	Pub. Year	Proteins_Prokka	Isolation source2	ISOLATION_SOURCE_RECOD	HOST_DISEASE_RECOD	Isol Source 3	Isol Source 4	NEW_HOSPITAL	whyDeleted	whyDeleted2	Group	CRISPR_cluster	CRISPR_arrays
11	ab00011	GCA_000173395.1_ASM17339v1	AB900									2003	USA		Homo sapiens			perineal isolate				https://www.ncbi.nlm.nih.gov/bioproject/PRJNA30995	https://www.ncbi.nlm.nih.gov/pubmed/?term=18931120	524	NO			38.9218837616218	3910877	68	USA	Washington	District of Columbia	Walter Reed Army Medical Center			3678	perineum	Perianal	Colonización	Perianal	Perianal	Walter Reed Army Medical Center	A. baumannii	A. baumannii	group1	cas3(cas2_3)	3
12	ab00012	GCA_000177695.1_ASM17769v1	AB056									2004	USA		Homo sapiens			patient at Walter Reed Army Medical Center with a bloodstream infection				https://www.ncbi.nlm.nih.gov/bioproject/PRJNA43427	https://www.ncbi.nlm.nih.gov/pubmed/?term=20530228	254	NO	40	Solexa	39.0941649537205	3844254	959	USA	Washington	District of Columbia	Walter Reed Army Medical Center			3489	blood	Humano no determinado	Desconocido	Bacteremia	Blood	Walter Reed Army Medical Center	no_16S	no_16S			
13	ab00013	GCA_000177715.1_ASM17771v1	AB058									2003	USA		Homo sapiens			patient at Walter Reed Army Medical Center with a bloodstream infection				https://www.ncbi.nlm.nih.gov/bioproject/PRJNA43429	https://www.ncbi.nlm.nih.gov/pubmed/?term=20530228	217	NO	40	Solexa	39.0973737493918	3765368	1040	USA	Washington	District of Columbia	Walter Reed Army Medical Center			3437	blood	Humano no determinado	Desconocido	Bacteremia	Blood	Walter Reed Army Medical Center	no_16S	no_16S			
14	ab00014	GCA_000177735.1_ASM17773v1	AB059									2004	USA		Homo sapiens			patient at Walter Reed Army Medical Center with a bloodstream infection				https://www.ncbi.nlm.nih.gov/bioproject/PRJNA43431	https://www.ncbi.nlm.nih.gov/pubmed/?term=20530228	252	NO	40	Solexa	39.1518379462109	3909418	1062	USA	Washington	District of Columbia	Walter Reed Army Medical Center			3537	blood	Humano no determinado	Desconocido	Bacteremia	Blood	Walter Reed Army Medical Center	no_16S	no_16S			
15	ab00015	GCA_000184475.2_ASM18447v2	UMB001												Homo sapiens			blood				https://www.ncbi.nlm.nih.gov/bioproject/PRJNA60843	https://www.ncbi.nlm.nih.gov/pubmed/?term=21639920	751	NO		454	38.9683021790165	4013462	118	USA	Baltimore	Maryland	University of Maryland Medical Center	USA: University of Maryland Medical Center, Baltimore, Maryland	2011	3885	blood	Bacteriemia	Bacteriemia	Bacteremia	Blood	University of Maryland Medical Center	A. baumannii	A. baumannii	group2		3
16	ab00016	GCA_000184495.2_ASM18449v2	UMB002												Homo sapiens			peri-anal swab				https://www.ncbi.nlm.nih.gov/bioproject/PRJNA60845	https://www.ncbi.nlm.nih.gov/pubmed/?term=21639920	667	NO		454	38.9763185373947	3935990	74	Canada	Toronto			Canada: Toronto	2011	3672	several	Perianal	Colonización	Perianal	Perianal		no_16S	no_16S			
17	ab00017	GCA_000184515.2_ASM18451v2	UMB003												Homo sapiens			wound				https://www.ncbi.nlm.nih.gov/bioproject/PRJNA60847	https://www.ncbi.nlm.nih.gov/pubmed/?term=21639920	530	NO		454	39.0727493408431	4188684	96	USA	Baltimore	Maryland	University of Maryland Medical Center	USA: University of Maryland Medical Center, Baltimore, Maryland	2011	4056	wound	IPPB	IPPB	Skin & Soft Tissue Infection	Skin and soft tissues	University of Maryland Medical Center	A. baumannii	A. baumannii	group1	cas1;cas3(cas2_3);BMY_2099(cas8f);csy2(cas5);csy3(cas7);csy3(cas7);csy4(cas6f)	4
18	ab00018	GCA_000186565.1_ASM18656v1	A118										Argentina:Buenos Aires		Homo sapiens			blood of a patient in the intensive care unit			largely drug susceptible and naturally competent	https://www.ncbi.nlm.nih.gov/bioproject/PRJNA60111	https://www.ncbi.nlm.nih.gov/pubmed/?term=21282446	759	NO	50	Solexa	38.6353147657198	3783290	227	Argentina	Buenos Aires					4055	blood	Bacteriemia	Bacteriemia	Bacteremia	Blood		no_16S	no_16S			
19	ab00019	GCA_000186645.2_ASM18664v2	WM99c																			https://www.ncbi.nlm.nih.gov/bioproject/PRJNA61917	https://www.ncbi.nlm.nih.gov/pubmed/?term=22092679	10967	NO	14	454 GS FLX	39.0896601808945	4042798	162	Australia				Australia	2011	3824					Others		A. baumannii	A. baumannii	group2		2
20	ab00020	GCA_000186665.4_ASM18666v4	D1279779										Australia		Homo sapiens							https://www.ncbi.nlm.nih.gov/bioproject/PRJNA61919	https://www.ncbi.nlm.nih.gov/pubmed/?term=22092679	3704284	YES		454	38.9826494598163	3711700	2	Australia						3470					Others		A. baumannii	A. baumannii	group1	ACIAD1283(casRa)	5
21	ab00021	GCA_000187205.4_ASM18720v4	MDR-TJ																			https://www.ncbi.nlm.nih.gov/bioproject/PRJNA52959	https://www.ncbi.nlm.nih.gov/pubmed/?term=21398552	3964912	YES			39.0868508672519	4153407	3	China	Tianjin		Second Hospital of Tianjin Medical University	China: Second Hospital of Tianjin Medical University	2011	3953					Others	Second Hospital of Tianjin Medical University	A. baumannii	A. baumannii	group2		1
22	ab00022	GCA_000188215.1_ASM18821v1	1656-2																			https://www.ncbi.nlm.nih.gov/bioproject/PRJNA42153	https://www.ncbi.nlm.nih.gov/pubmed/?term=22038960	3940614	YES			39.0514691882342	4023106	3	South Korea				South Korea	2011	3831					Others		A. baumannii	A. baumannii	group2		0
23	ab00023	GCA_000189655.2_ASM18965v2	AB210																			https://www.ncbi.nlm.nih.gov/bioproject/PRJNA52391	https://www.ncbi.nlm.nih.gov/pubmed/?term=21565804	214	NO	31	454 GS FLX	38.8446297539244	4061434	106	United Kingdom				United Kingdom	2011	3845					Others		A. baumannii	A. baumannii	group2		1
24	ab00024	GCA_000189675.2_ASM18967v2	3990				p1ABST2					2006										https://www.ncbi.nlm.nih.gov/bioproject/PRJNA52395	https://www.ncbi.nlm.nih.gov/pubmed/?term=21398548	63320	NO	15	454 GS FLX	38.8418459729864	4015010	96	Italy	Naples		Monaldi Hospital	Italy: Monaldi Hospital, Naples	2011	3823					Others	Monaldi Hospital	A. baumannii	A. baumannii	group2		1
25	ab00025	GCA_000189695.2_ASM18969v2	3909				p1ABST78					2007										https://www.ncbi.nlm.nih.gov/bioproject/PRJNA52397	https://www.ncbi.nlm.nih.gov/pubmed/?term=21398548	26411	NO	12	454 GS FLX	38.9183592194345	3954825	236	Italy	Naples		Monaldi Hospital	Italy: Monaldi Hospital, Naples	2011	3727					Others	Monaldi Hospital	A. baumannii	A. baumannii	group1		5
26	ab00026	GCA_000189715.2_ASM18971v2	4190				p1ABST25					2009										https://www.ncbi.nlm.nih.gov/bioproject/PRJNA52399	https://www.ncbi.nlm.nih.gov/pubmed/?term=21398548	15267	NO	10	454 GS FLX	39.0769091126879	4032279	396	Italy	Naples		Monaldi Hospital	Italy: Monaldi Hospital, Naples	2011	3906					Others	Monaldi Hospital	A. baumannii	A. baumannii	group1	csy4(cas6f);csy3(cas7);csy2(cas5);csy2(cas5);BMY_2099(cas8f);cas3(cas2_3);X(214);unknown1336(DUF2188);cas1	6
27	ab00027	GCA_000189735.2_ASM18973v2	TCDC-AB0715																			https://www.ncbi.nlm.nih.gov/bioproject/PRJNA62279	https://www.ncbi.nlm.nih.gov/pubmed/?term=21398540	4138388	YES			38.9182536895927	4218013	3	Taiwan	Taipei			Taiwan: Taipei	2011	4061					Others		A. baumannii	A. baumannii	group2		1
28	ab00028	GCA_000214965.2_gacin09v1.0	Naval-18				pNaval18-131					2006	USA:National Naval Medical Center, Bethesda, MD		Homo sapiens							https://www.ncbi.nlm.nih.gov/bioproject/PRJNA53393		130660	NO		454; Illumina	38.9368343120216	4454602	11	USA	Bethesda	Maryland	National Naval Medical Center			4391					Others	National Naval Medical Center	A. baumannii	A. baumannii	group1	csy4(cas6f);csy3(cas7);csy2(cas5);BMY_2099(cas8f);cas3(cas2_3);cas3(cas2_3);cas3(cas2_3);cas1	2
29	ab00029	GCA_000214985.2_gacin10v1.0	Naval-81				pNaval81-13					2006	USA:National Naval Medical Center, Bethesda, MD		Homo sapiens							https://www.ncbi.nlm.nih.gov/bioproject/PRJNA53395		12634	NO		454; Illumina	38.9812890067616	4080863	5	USA	Bethesda	Maryland	National Naval Medical Center			3952					Others	National Naval Medical Center	A. baumannii	A. baumannii	group1		5
30	ab00030	GCA_000215005.2_AcbauOIFC032v1.0	OIFC032				pOIFC032-101					2003	Germany:Landstuhl Regional Medical Center, Landstuhl		Homo sapiens							https://www.ncbi.nlm.nih.gov/bioproject/PRJNA53379		101298	NO	25	454; Illumina	39.0417952657063	3893886	4	Germany	Landstuhl		Landstuhl Regional Medical Center			3682					Others	Landstuhl Regional Medical Center	A. baumannii	A. baumannii	group1		2
31	ab00031	GCA_000222225.2_ASM22222v2	ABNIH1																			https://www.ncbi.nlm.nih.gov/bioproject/PRJNA63335	https://www.ncbi.nlm.nih.gov/pubmed/?term=21825119	106965	NO	23	454 GS FLX	39.1198417105113	3899185	103	USA	Bethesda	Maryland	NIH Clinical Center	USA: NIH Clinical Center, Bethesda, Maryland	2011	3774					Others	NIH Clinical Center	A. baumannii	A. baumannii	group2		1
32	ab00032	GCA_000222245.2_ASM22224v2	ABNIH2																			https://www.ncbi.nlm.nih.gov/bioproject/PRJNA63337	https://www.ncbi.nlm.nih.gov/pubmed/?term=21825119	1744	NO	19	454 GS FLX	39.1357629061427	3938086	125	USA	Bethesda	Maryland	NIH Clinical Center	USA: NIH Clinical Center, Bethesda, Maryland	2011	3748					Others	NIH Clinical Center	A. baumannii	A. baumannii	group2		1
33	ab00033	GCA_000222265.2_ASM22226v2	ABNIH3																			https://www.ncbi.nlm.nih.gov/bioproject/PRJNA63339	https://www.ncbi.nlm.nih.gov/pubmed/?term=21825119	421	NO	11	454 GS FLX	39.0570275878176	4063279	285	USA	Bethesda	Maryland	NIH Clinical Center	USA: NIH Clinical Center, Bethesda, Maryland	2011	3893					Others	NIH Clinical Center	A. baumannii	A. baumannii	group2		1
34	ab00034	GCA_000222285.2_ASM22228v2	ABNIH4																			https://www.ncbi.nlm.nih.gov/bioproject/PRJNA63341	https://www.ncbi.nlm.nih.gov/pubmed/?term=21825119	579	NO	17	454 GS FLX	39.1516270422171	3988741	184	USA	Bethesda	Maryland	NIH Clinical Center	USA: NIH Clinical Center, Bethesda, Maryland	2011	3846					Others	NIH Clinical Center	A. baumannii	A. baumannii	group2		3
35	ab00035	GCA_000226275.1_ASM22627v1	MDR-ZJ06									2006	China:Zheijiang									https://www.ncbi.nlm.nih.gov/bioproject/PRJNA28333	https://www.ncbi.nlm.nih.gov/pubmed/?term=21788470	3991133	YES			39.0788680556629	4011434	2	China		Zhejiang				3797					Others		A. baumannii	A. baumannii	group2		0
36	ab00036	GCA_000241665.2_ASM24166v2	AB4857									2009	USA		Homo sapiens			isolated from a bone infection				https://www.ncbi.nlm.nih.gov/bioproject/PRJNA77019	https://www.ncbi.nlm.nih.gov/pubmed/?term=22374953	5026	NO	33	454 Titanium	39.0471183103633	4022640	54	USA	Washington	District of Columbia	Walter Reed Army Medical Center			3923	several	Osteoarticular	Osteoarticular	Osteoarticular	Bone/joints	Walter Reed Army Medical Center	A. baumannii	A. baumannii	group1		4
37	ab00037	GCA_000241685.2_ASM24168v2	AB5075								WRAMC (Walter Reed Army Medical Center)	2008	USA	38.906189 N 77.0172653 W	Homo sapiens			bone culture	osteomyelitis			https://www.ncbi.nlm.nih.gov/bioproject/PRJNA77021	https://www.ncbi.nlm.nih.gov/pubmed/?term=22374953	209584	NO	31	454 Titanium	39.0997951162164	4050589	36	USA	Washington	District of Columbia	Walter Reed Army Medical Center			3957	several	Osteoarticular	Osteoarticular	Osteoarticular	Bone/joints	Walter Reed Army Medical Center	A. baumannii	A. baumannii	group1	cas1;cas3(cas2_3);cas3(cas2_3);BMY_2099(cas8f);BMY_2099(cas8f);csy2(cas5);csy3(cas7);csy4(cas6f)	4
38	ab00038	GCA_000241705.2_ASM24170v2	AB5256									2009	USA		Homo sapiens			blood				https://www.ncbi.nlm.nih.gov/bioproject/PRJNA77023	https://www.ncbi.nlm.nih.gov/pubmed/?term=22374953	127210	NO	29	454 Titanium	39.0205545638943	4158006	50	USA	Washington	District of Columbia	Walter Reed Army Medical Center			3853	blood	Bacteriemia	Bacteriemia	Bacteremia	Blood	Walter Reed Army Medical Center	A. baumannii	A. baumannii	group1	csy4(cas6f);csy3(cas7);csy2(cas5);BMY_2099(cas8f);cas3(cas2_3);cas1	1
39	ab00039	GCA_000241725.2_ASM24172v2	AB5711									2009	USA		Homo sapiens			blood				https://www.ncbi.nlm.nih.gov/bioproject/PRJNA77025	https://www.ncbi.nlm.nih.gov/pubmed/?term=22374953	36897	NO	32	454 Titanium	39.1372460597055	4000399	45	USA	Washington	District of Columbia	Walter Reed Army Medical Center			3796	blood	Bacteriemia	Bacteriemia	Bacteremia	Blood	Walter Reed Army Medical Center	A. baumannii	A. baumannii	group2		0
40	ab00040	GCA_000248255.2_ASM24825v2	W6976										United Kingdom:London									https://www.ncbi.nlm.nih.gov/bioproject/PRJNA62419	https://www.ncbi.nlm.nih.gov/pubmed/?term=23259572	200	NO	8	454 Titanium	38.9711347750391	3910969	526	United Kingdom	London					3827					Others		A. baumannii	A. baumannii	group1		1
41	ab00041	GCA_000248275.2_ASM24827v2	W7282										United Kingdom:London									https://www.ncbi.nlm.nih.gov/bioproject/PRJNA62421	https://www.ncbi.nlm.nih.gov/pubmed/?term=23259572	308	NO	14	454 Titanium	38.9640254121682	3951178	133	United Kingdom	London					3799					Others		A. baumannii	A. baumannii	group2		1
42	ab00042	GCA_000278605.1_gacin08v1.0	Naval-17				pNaval17-13					2006	USA:National Naval Medical Center, Bethesda, MD		Homo sapiens							https://www.ncbi.nlm.nih.gov/bioproject/PRJNA53391		12636	NO		454; Illumina	39.1320470707468	4009964	21	USA	Bethesda	Maryland	National Naval Medical Center			3826					Others	National Naval Medical Center	A. baumannii	A. baumannii	group2		1
43	ab00043	GCA_000278625.1_AcbauOIFC137v1.0	OIFC137				pOIFC137-122					2003	USA:Walter Reed Army Medical Center, Washington, DC		Homo sapiens							https://www.ncbi.nlm.nih.gov/bioproject/PRJNA53377		122461	NO	57	454; Illumina	39.0048316517291	4081420	4	USA	Washington	District of Columbia	Walter Reed Army Medical Center			3855					Others	Walter Reed Army Medical Center	A. baumannii	A. baumannii	group1		4
44	ab00044	GCA_000278645.1_AcbauOIFC109v1.0	OIFC109				pOIFC109-122					2003	USA:Walter Reed Army Medical Center, Washington, DC		Homo sapiens							https://www.ncbi.nlm.nih.gov/bioproject/PRJNA53383		122469	NO	47	454; Illumina	39.0086875940592	4107121	13	USA	Washington	District of Columbia	Walter Reed Army Medical Center			3912					Others	Walter Reed Army Medical Center	A. baumannii	A. baumannii	group1		4
45	ab00045	GCA_000278665.1_AcbauOIFC143v1.0	OIFC143				pOIFC143-128					2003	USA:Walter Reed Army Medical Center, Washington, DC		Homo sapiens							https://www.ncbi.nlm.nih.gov/bioproject/PRJNA53385		127633	NO	13	454; Illumina	39.1042812204551	4441327	8	USA	Washington	District of Columbia	Walter Reed Army Medical Center			4252					Others	Walter Reed Army Medical Center	A. baumannii	A. baumannii	group1	cas1;cas3(cas2_3);BMY_2099(cas8f);csy2(cas5);csy3(cas7);csy4(cas6f)	2
46	ab00046	GCA_000278685.1_AcbauOIFC189v1.0	OIFC189				pOIFC189-111					2003	USA:Walter Reed Army Medical Center, Washington, DC		Homo sapiens							https://www.ncbi.nlm.nih.gov/bioproject/PRJNA53387		110967	NO	15	454; Illumina	39.2302760843627	4043112	10	USA	Washington	District of Columbia	Walter Reed Army Medical Center			3810					Others	Walter Reed Army Medical Center	A. baumannii	A. baumannii	group2		0
47	ab00047	GCA_000282795.3_ASM28279v3	AC12									2011	Malaysia:Hospital Sultanah Nur Zahirah, Kuala Terengganu		Homo sapiens			blood			resistant to the carbapenems, meropenem and imipenem, and also resistant to polymyxin B, ceftoxitin, gentamicin, clindamycin, erythromycin, fusidic acid, oxacillin, penicillin, rifampin, vancomycin, tobramycin, trimethamycin, amikacin, kanamycin, chloramphenicol, neomycin, streptomycin, mupirocin, tetracycline, ciprofloxacin, teicoplanin, linezolid, and norfloxacin	https://www.ncbi.nlm.nih.gov/bioproject/PRJNA168112	https://www.ncbi.nlm.nih.gov/pubmed/?term=23045494	3846504	YES	245	Illumina	38.9292458588865	3849810	2	Malaysia	Kuala Terengganu		Hospital Sultanah Nur Zahirah			3618	blood	Bacteriemia	Bacteriemia	Bacteremia	Blood	Hospital Sultanah Nur Zahirah	A. baumannii	A. baumannii	group2		1
48	ab00048	GCA_000286535.1_gacin11v1.0	IS-123				pIS123-12					2009	Iraq:Ibn Sina		Homo sapiens							https://www.ncbi.nlm.nih.gov/bioproject/PRJNA53397		11600	NO		454; Illumina	39.0225791708312	4063081	20	Iraq	Baghdad		Ibn Sina Hospital			3962					Others	Ibn Sina Hospital	A. baumannii	A. baumannii	group1		3
49	ab00049	GCA_000286615.1_gacin07v1.0	Canada BC-5				pCanadaBC5-8.7					2007	Canada		Homo sapiens			nosocomial spread of war-related MDR-ABC in a Canadian civilian hospital with origin from soldier evacuated via Landstuhl Regional Medical Center				https://www.ncbi.nlm.nih.gov/bioproject/PRJNA53389		8731	NO		454; Illumina	39.1648801542166	3998013	3	Canada						3757	pulmonary	Desconocido	Desconocido	Respiratory	Others		A. baumannii	A. baumannii	group1	csy4(cas6f);csy3(cas7);csy2(cas5);BMY_2099(cas8f);cas3(cas2_3);cas1	4
50	ab00050	GCA_000292545.1_ASM29254v1	BZICU-2									2010	China		Homo sapiens			sputum				https://www.ncbi.nlm.nih.gov/bioproject/PRJNA170599	https://www.ncbi.nlm.nih.gov/pubmed/?term=23045506	11800	NO		Illumina HiSeq	38.9497547262165	3814309	184	China						3558	sputum	Respiratorio	Respiratorio	Respiratory	Respiratory airways		A. baumannii	A. baumannii	group1	cas9;X(14);cas1;csy4(cas6f);unknown758(cas7);csy2(cas5);unknown1336;cas3(cas2_3)	9
51	ab00051	GCA_000297515.1_gacin24v1.0	IS-143									2008	Iraq:Ibn Sina		Homo sapiens			wound				https://www.ncbi.nlm.nih.gov/bioproject/PRJNA53421		633	NO		Illumina	39.2573517687354	4020019	93	Iraq	Baghdad		Ibn Sina Hospital			3764	wound	IPPB	IPPB	Skin & Soft Tissue Infection	Skin and soft tissues	Ibn Sina Hospital	A. baumannii	A. baumannii	group2		0
52	ab00052	GCA_000297535.1_gacin24v1.0	IS-116									2008	Iraq:Ibn Sina		Homo sapiens			wound				https://www.ncbi.nlm.nih.gov/bioproject/PRJNA53423		713	NO		Illumina	38.8698728479187	3952511	40	Iraq	Baghdad		Ibn Sina Hospital			3721	wound	IPPB	IPPB	Skin & Soft Tissue Infection	Skin and soft tissues	Ibn Sina Hospital	A. baumannii	A. baumannii	group1		5
53	ab00053	GCA_000297575.1_gacin25v1.0	WC-692									2008	Iraq:Camp Delta		Homo sapiens			intact skin surface				https://www.ncbi.nlm.nih.gov/bioproject/PRJNA53425		220	NO		Illumina	38.9022829504671	4183446	79	Iraq	Camp Delta					3921	several	IPPB	Desconocido	Skin & Soft Tissue Infection	Skin and soft tissues		A. baumannii	A. baumannii	group2		4
54	ab00054	GCA_000297595.1_gacin26v1.0	IS-58									2008	Iraq:Ibn Sina		Homo sapiens			respiratory tract				https://www.ncbi.nlm.nih.gov/bioproject/PRJNA53427		561	NO		Illumina	38.9757296460926	4063888	61	Iraq	Baghdad		Ibn Sina Hospital			3885	pulmonary	Respiratorio	Respiratorio	Respiratory	Respiratory airways	Ibn Sina Hospital	A. baumannii	A. baumannii	group1	csy4(cas6f);csy3(cas7);csy2(cas5);BMY_2099(cas8f);cas3(cas2_3);cas1	5
55	ab00055	GCA_000297915.1_Acin_baum_Ab11111_V1	Ab11111																			https://www.ncbi.nlm.nih.gov/bioproject/PRJNA157163		542454	NO		Illumina	39.0606930795918	4062506	10							3799					Others		A. baumannii	A. baumannii	group2		4
56	ab00056	GCA_000297935.1_Acin_baum_Ab33333_V1	Ab33333																			https://www.ncbi.nlm.nih.gov/bioproject/PRJNA157167		51532	NO		Illumina	38.9701253821425	3833321	11							3506					Others		A. baumannii	A. baumannii	group1		5
57	ab00057	GCA_000297955.1_Acin_baum_Ab44444_V1	Ab44444																			https://www.ncbi.nlm.nih.gov/bioproject/PRJNA157169		767578	NO		Illumina	39.0415752485203	3769310	6							3541					Others		A. baumannii	A. baumannii	group1		4
58	ab00058	GCA_000299655.1_ASM29965v1	ZWS1122									2011	China		Homo sapiens			blood				https://www.ncbi.nlm.nih.gov/bioproject/PRJNA172873	https://www.ncbi.nlm.nih.gov/pubmed/?term=23209232	25341	NO	338	Illumina Hiseq	38.9594230299361	3937258	60	China						3694	blood	Bacteriemia	Bacteriemia	Bacteremia	Blood		no_16S	no_16S			
59	ab00059	GCA_000299675.1_ASM29967v1	ZWS1219									2011	China		Homo sapiens			blood				https://www.ncbi.nlm.nih.gov/bioproject/PRJNA172947	https://www.ncbi.nlm.nih.gov/pubmed/?term=23209232	25151	NO	248	Illumina Hiseq	39.0289069010535	3964728	70	China						3700	blood	Bacteriemia	Bacteriemia	Bacteremia	Blood		no_16S	no_16S			
60	ab00060	GCA_000301175.1_ASM30117v1	AB_1582-8												Homo sapiens			sputum				https://www.ncbi.nlm.nih.gov/bioproject/PRJNA172656		13261	NO	93	Illumina GA-II	38.9698525489434	4054837	253							3803	sputum	Respiratorio	Respiratorio	Respiratory	Respiratory airways		no_16S	no_16S			
61	ab00061	GCA_000301195.1_ASM30119v1	AB_1594-8												Homo sapiens			sputum				https://www.ncbi.nlm.nih.gov/bioproject/PRJNA172658		11670	NO	141	Illumina GA-II	39.027689894525	3973074	222							3718	sputum	Respiratorio	Respiratorio	Respiratory	Respiratory airways		A. baumannii	A. baumannii	group1	Vcrx011;X(3478);cas3(cas2_3);unknown1336;csy2(cas5);unknown758(cas7);csy4(cas6f);cas1	9
62	ab00062	GCA_000301215.1_ASM30121v1	AB_1595-8												Homo sapiens			urine				https://www.ncbi.nlm.nih.gov/bioproject/PRJNA172659		18547	NO	103	Illumina GA-II	38.9356290786767	4070254	205							3833	urine	Urinario	ITU	Urinary	Urinary tract		A. baumannii	A. baumannii	group2		3
