	NZ_CP040048.1	CP040042.1	CP026129.1	NZ_CP039519.1	CP027185.1	NZ_CP036285.1	CU459140.1	NZ_CP039931.1	NZ_CP039932.1	KX118105.1	CP013925.1	CP012956.1	CP010399.1	CM009083.3	CP000864.1	AFDB02000003.1	NZ_CP015485.1	NC_021728.1	NZ_CP015365.1	CP000522.1	CM009046.2	CM009652.1	CP018334.1	CP031745.1	CP039933.1	NC_010402.1	CP010400.1	NZ_CP012955.1	KY704308.1	AFDA02000008.1	CM009045.2	NZ_CP007713.1	AFDA02000011.1	CM009039.2	CM009649.1	CM009050.2	NZ_CP040052.1	NC_010401.1	CP039521.1	NZ_CP023023.1	NZ_CP026340.1	NZ_CP012953.1	NZ_CP021785.1	CM003742.1	NZ_CP021783.1	MK386684.1	CP008709.1	NZ_CP020583.1
ab01853																																																
ab01862																																									1							
ab01878																																																
ab01887																																																
ab01904																																								1								
ab01905																																								1								
ab01906																																																
ab01907																																																
ab01908																																																
ab01909																																																
ab01921																																																
ab01922																																																
ab01923																																																
ab01930																																																
ab01931																																																
ab01935																																																
ab01939																																																
ab01959																																																
ab01961																																																
ab01962																																																
ab01971																																									1							
ab01976																																																
ab01977												1																														1						
ab01980																																																
ab01981																																																
ab01988																																																
ab01994																																																
ab01996																																																
ab02008																																																
ab02016																																									1							
ab02029																																																
ab02045																																																
ab02051																														1			1													1		
ab02057																																																
ab02058																																																
ab02059																																																
ab02061																																									1							
ab02063																																																
ab02065																																																
ab02076																																																
ab02077																																																
ab02078																																																
ab02084																																																
ab02087																																									1							
ab02090																																																
ab02093																																																
ab02142																																									1							
ab02163																																																
ab02174																																									1							
ab02178																																									1							
ab02218																																																
ab02248																																																
ab02251																																																
ab02283																																																
ab02290																													1																			
ab02304																							1																									
ab02307																																																
ab02308																																																
ab02310																																																
ab02314																																													1			
ab02317																																																
ab02319																																																
ab02340																																																
ab02342																																																
ab02345														1																																		
ab02347														1																																1		
ab02349																																		1											1			
ab02351																																		1											1			
ab02355																																																
ab02360																																																
ab02361																																																
ab02363																						1																										
ab02364																						1																										
ab02365																																																
ab02366																																																
ab02367																						1																										
ab02368																						1																										
ab02369																																																
ab02370																																																
ab02371																																																
ab02372																						1																										
ab02373																																																
ab02445																																																
ab00001																				1																												
ab00025						1		1	1																																							
ab00029																1																																
ab00030					1																																											
ab00036																																																
ab00040		1																1																														
ab00043																																																
ab00044																																																
ab00048																																																
ab00052																																																
ab00056																																																
ab00057																																																
ab00066																																																
ab00069																																																
ab00077																																																
ab00078																																																
ab00079																																																
ab00083																																																
ab00084																																																
ab00087																																																
ab00089																																																
ab00095								1																																					1			
ab00103																																																
ab00108																																																
ab00113																																																
ab00114																																																
ab00125																																																
ab00129																																																
ab00132								1																																								
ab00136																																																
ab00140																																																
ab00156																																																
ab00161																																																
ab00164																																																
ab00171																																																
ab00175																																																
ab00179																																																
ab00181																																																
ab00185																																																
ab00192								1	1																																							
ab00199																																																
ab00200		1																																														
ab00202																																																
ab00203																																																
ab00204																																																
ab00225																																																
ab00228						1											1																															
ab00232																																																
ab00239								1	1																																							
ab00240								1	1																																							
ab00246													1																																			
ab00269																																																
ab00286																																																
ab00287																																																
ab00292																																																
ab00313																																																
ab00316																																																
ab00318																																																
ab00321																																																
ab00322																																																
ab00325																																																
ab00333																																																
ab00334																																																
ab00336																																																
ab00342						1																																										
ab00362																																																
ab00364																																																
ab00370																																																
ab00377																																																
ab00382																																																
ab00384																																																
ab00386																																																
ab00390																																																
ab00395																																																
ab00396																																																
ab00400																																																
ab00403																																																
ab00409																																																
ab00422																																																
ab00429																																																
ab00430																																																
ab00431																																																
ab00436																																																
ab00441																																																
ab00442																																																
ab00444																																																
ab00445																																																
ab00449																																																
ab00454																																																
ab00463																																																
ab00465																																																
ab00467																																																
ab00468																																																
ab00469																																																
ab00472																																																
ab00474																																																
ab00478																																																
ab00482																																																
ab00486																																																
ab00493																																																
ab00614																																																
ab00616																																																
ab00618																																																
ab00619																																																
ab00620																																																
ab00622																																																
ab00632																																																
ab00633																																																
ab00635																																																
ab00636																																																
ab00639																																																
ab00640																																																
ab00644																																																
ab00645																																																
ab00665																																																
ab00666																																																
ab00671																																																
ab00672																																																
ab00673																																																
ab00676																																																
ab00682																																																
ab00683																																																
ab00684																																																
ab00686																																																
ab00692																																																
ab00693																									1																							
ab00699																																																
ab00700																																																
ab00701																																																
ab00711																																																
ab00713																																																
ab00722																																																
ab00723																																																
ab00729																																																
ab00744																																																
ab00745																																																
ab00746																																																
ab00749								1									1																															
ab00755																																																
ab00760																																																
ab00761																																																
ab00764																																																
ab00765																																																
ab00766																																																
ab00768																																																
ab00775																																																
ab00776																																																
ab00778																																																
ab00783																																																
ab00822																																																
ab00825																																																
ab00835																	1																															
ab00844																																																
ab00848		1																				1																										
ab00852																						1																										
ab00872																																																
ab00893																																																
ab00895								1																																								
ab00897																																																
ab00898																						1																			1							
ab00946																																																
ab00966																																																
ab00967																																																
ab00968																																																
ab00975																						1																										
ab00989																																																
ab00993													1														1																					
ab00997																																																
ab00999																																																
ab01002																																																
ab01005								1																																								
ab01025																																																
ab01027																																																
ab01031																																																
ab01033																																																
ab01036																																																
ab01038		1															1	1																														
ab01068																																																
ab01069																																																
ab01071																																																
ab01072																																																
ab01075																																																
ab01088								1																																								
ab01107																																																
ab01135																																																
ab01139																																																
ab01143																																																
ab01150																																																
ab01151																																																
ab01167								1																																								
ab01200																																																
ab01214																																																
ab01246																																																
ab01288																						1																										
ab01305																																																
ab01308																1																													1			
ab01309																																																
ab01317																																																
ab01343																																																
ab01344																																																
ab01345																																																
ab01353																																																
ab01360																																																
ab01370																																																
ab01374																																																
ab01376																																																
ab01386																																																
ab01392																																																
ab01407																																																
ab01414																																																
ab01440						1																																										
ab01448																						1																										
ab01469						1		1																1																								
ab01471						1		1																1																								
ab01478						1		1																1																								
ab01508								1																1																								
ab01510																																																
ab01535																																																
ab01547																																																
ab01565																																																
ab01566																																																
ab01568																																																
ab01569																																																
ab01570																																																
ab01571																																																
ab01572																																																
ab01581																																																
ab01582																																																
ab01583																				1																												
ab01584																																																
ab01585																				1																												
ab01586																				1																												
ab01587																				1																												
ab01588																				1																												
ab01589																																													1			
ab01592																																													1			
ab01595																																													1			
ab01605	1	1																																														
ab01607																																																
ab01612	1																																															
ab01619		1															1																															
ab01629	1	1																																														
ab01635																																																
ab01637		1															1																															
ab01645	1	1																																														
ab01656	1	1															1																															
ab01664		1															1																															
ab01682	1	1																																														
ab01697		1															1																															
ab01759																																																
ab01761																																																
ab01763		1															1																															
ab01770		1															1																															
ab01772																																																
ab01773																																																
ab01797																																									1							
ab01799																																									1				1			
ab01801																																																
ab01802																																									1							
ab01804																																									1			1				
ab01809																																																
ab01812																																																
ab01813																																																
ab01814																																																
ab01815																																																
ab01816																																																
ab01817																																																
ab01818																																																
ab01819																																																
ab01821																																																
ab01823																																																
ab01824																																																
ab01828																																																
ab01829																																																
ab01830																																																
ab01832																																																
ab01839																																																
ab01840																																																
ab01841						1		1																																								
ab01842																																																
ab01845		1																																														
ab01849																																																
ab01855																																																
ab01856																																																
ab01861																																																
ab01863																																																
ab01871																																																
ab01891																																																
ab01892																																																
ab01903																																																
ab01932																						1																										
ab01933																																																
ab01934		1																																														
ab01936		1																																														
ab01937																																																
ab01940																																																
ab01941																																																
ab01943																																																
ab01948																																																
ab01949		1																																														
ab01951																																																
ab01953																																																
ab01955																																																
ab01958																																																
ab01965																																																
ab01975																																																
ab01982																																																
ab01987																																																
ab01992		1																																														
ab01993																																																
ab01998																																																
ab02006																																																
ab02017																																																
ab02021																																																
ab02024																																																
ab02025																																																
ab02033																																																
ab02039																																																
ab02040																																																
ab02046		1			1																																											
ab02047																																																
ab02049																																																
ab02053																																																
ab02056																									1																							
ab02062		1																																														
ab02069																																																
ab02071																																																
ab02072																																																
ab02075																																																
ab02081																																																
ab02082																																																
ab02083																																																
ab02086																																																
ab02094																		1																														
ab02114																																									1							
ab02117																									1																							
ab02120						1		1																																								
ab02122								1																																								
ab02123						1		1																																								
ab02124								1																																								
ab02138																																																
ab02143																																																
ab02151																																																
ab02176																																																
ab02177																																																
ab02182		1																																			1					1						
ab02201		1																																														
ab02293																																																
ab02294																																																
ab02296																																																
ab02305																																																
ab02306																																																
ab02309																																																
ab02311																																																
ab02312																																																
ab02313																																																
ab02315								1																																								
ab02316																																																
ab02318																																																
ab02321																																																
ab02322																																																
ab02323								1																																								
ab02324																																																
ab02325																																																
ab02326																																																
ab02327																																																
ab02328																																																
ab02329																																																
ab02330																																																
ab02331																																																
ab02346																																																
ab02348																					1										1																	
ab02356			1																																													
ab02447									1																																							
ab02448									1																																							
ab02450									1																																							
ab02452																																																
ab02453									1																																							
ab02454									1																																							
ab02455									1																																							
ab02456									1																																							
ab02457									1																																							
ab02458								1	1																																							
ab02459									1																																							
ab02460									1																																							
ab02461									1																																							
ab02462																																																
ab02463																																																
ab02466																																																
ab00002															1																																	
ab00015								1																																								
ab00019		1				1																		1																								
ab00021																																																
ab00022																																																
ab00023		1				1												1																														
ab00024																																																
ab00027																																																
ab00031								1																																								
ab00032		1		1		1											1																															
ab00033								1																																								
ab00034								1																																								
ab00035																																																
ab00039																																																
ab00041		1																1																														
ab00042																																																
ab00046																																																
ab00047																																																
ab00051																																																
ab00053																																																
ab00055		1																																														
ab00062		1																				1																										
ab00065		1		1				1																																								
ab00067								1																																								
ab00070		1																				1																										
ab00071																								1																								
ab00075																	1																															
ab00080		1																1																														
ab00081		1		1													1	1																														
ab00082		1		1													1	1																														
ab00088						1																		1																								
ab00090								1																																								
ab00093																								1																								
ab00096		1															1							1																								
ab00097		1																							1																							
ab00101		1		1														1																														
ab00102		1		1													1	1																														
ab00106																																																
ab00112																	1							1																								
ab00115																						1																										
ab00117																																																
ab00118		1		1													1	1																														
ab00123																																																
ab00130		1				1																																										
ab00131						1																																										
ab00133								1																																								
ab00138																	1																															
ab00139								1																																								
ab00142		1																																														
ab00145																																																
ab00146																																																
ab00147								1																																								
ab00148		1		1		1											1																															
ab00149								1																																								
ab00150								1																																								
ab00155																																																
ab00157																																																
ab00158																																																
ab00159																																																
ab00160																																																
ab00162		1																				1																										
ab00163																	1																															
ab00165																																																
ab00168																																																
ab00178																																																
ab00182																																															1	
ab00186				1													1	1																														
ab00187				1													1	1																														
ab00188																		1																														
ab00190																		1																														
ab00194																	1																															
ab00195																		1																											1			
ab00198		1		1																																												
ab00205		1															1																															
ab00206																								1																								
ab00207																																																
ab00208																		1																														
ab00209																																																
ab00210		1		1																																												
ab00211		1																																														
ab00212		1		1													1	1																														
ab00217		1		1													1																															
ab00218		1																																														
ab00219		1																																														
ab00220								1																1																								
ab00223		1				1																																										
ab00224		1																																														
ab00226				1													1																															
ab00229								1																1																								
ab00230								1																1																								
ab00231								1																																								
ab00233		1																																														
ab00234		1																																														
ab00236								1																																								
ab00237		1																																														
ab00238																																																
ab00245																																																
ab00252		1		1		1											1							1																								
ab00253		1																				1																										
ab00254																						1																										
ab00255		1																1																														
ab00256																																																
ab00257		1															1	1				1																										
ab00258																																																
ab00259		1		1													1							1																								
ab00260		1															1							1																								
ab00261		1				1											1							1																								
ab00262		1															1	1																														
ab00263		1																1				1																										
ab00264		1		1													1	1				1																										
ab00265		1															1	1				1																										
ab00266		1				1											1							1																								
ab00267								1																																								
ab00268		1																																														
ab00270		1																1				1																										
ab00271		1																																														
ab00274		1		1													1							1																								
ab00275		1		1													1	1				1																										
ab00276		1															1																															
ab00277		1															1																															
ab00278		1															1	1				1																										
ab00280		1		1													1	1				1																										
ab00281		1															1	1				1																										
ab00283																						1																										
ab00284																																																
ab00285																																																
ab00288		1																1				1																										
ab00291		1																1				1																										
ab00294																								1																								
ab00296																																																
ab00297		1																1				1																										
ab00300		1																				1																										
ab00303		1		1													1							1																								
ab00304		1																1																														
ab00305																																																
ab00306																																																
ab00307																	1																															
ab00310																																																
ab00314																																																
ab00319		1																																														
ab00328						1																																										
ab00340						1																																										
ab00344																																																
ab00347																																																
ab00353																																																
ab00358																																																
ab00359																								1																								
ab00363																																																
ab00365																																																
ab00369																																																
ab00371																																																
ab00375																	1																															
ab00376		1				1																																										
ab00385								1																1																								
ab00389																																																
ab00394		1																																														
ab00399																																																
ab00401		1																																														
ab00402																																																
ab00404																																																
ab00405		1																																														
ab00406		1																																														
ab00407																																																
ab00410																																																
ab00411																																																
ab00415																																																
ab00416																																																
ab00419																																																
ab00420																																																
ab00421																																																
ab00423																																																
ab00425						1																																										
ab00427																																																
ab00434																																																
ab00435																																																
ab00437																																																
ab00439																																																
ab00440																	1																															
ab00443																																																
ab00446								1																																								
ab00447																																																
ab00450																																																
ab00451								1																																								
ab00452																																																
ab00453																																																
ab00456																	1																															
ab00459		1																																														
ab00460																																																
ab00461						1																																										
ab00462																																																
ab00464																																																
ab00466		1																																														
ab00470																																																
ab00471																																																
ab00473																																																
ab00476																																																
ab00477		1																																														
ab00479																																																
ab00480																																																
ab00481																																																
ab00483																																																
ab00484		1																																														
ab00485																																																
ab00487																																																
ab00488		1																																														
ab00490								1																																								
ab00491																																																
ab00494								1																																								
ab00496																																																
ab00497																																																
ab00498																																																
ab00499																																																
ab00500																																																
ab00501																																																
ab00502																																																
ab00503																																																
ab00504																																																
ab00505																																																
ab00506																																																
ab00507																																																
ab00509																																																
ab00510																																																
ab00511						1																																										
ab00512																																																
ab00514																																																
ab00515																																																
ab00516																																																
ab00517																																																
ab00518																																																
ab00519																																																
ab00520																																																
ab00521																																																
ab00522																																																
ab00523																																																
ab00524																																																
ab00525																								1																								
ab00526		1																																														
ab00527		1																																														
ab00529								1																																								
ab00530																																																
ab00531		1																																														
ab00533		1																																														
ab00534		1																																														
ab00535																																																
ab00536																																																
ab00537						1																																										
ab00538																																																
ab00539						1																																										
ab00540																																																
ab00541																																																
ab00542																																																
ab00545						1																																										
ab00547						1																																										
ab00552																																																
ab00553																																																
ab00554																						1																										
ab00556						1																																										
ab00557						1																																										
ab00558																																																
ab00562						1																																										
ab00563						1																																										
ab00564																																																
ab00565						1																																										
ab00566																																																
ab00567																																																
ab00568																																																
ab00569																																																
ab00570																																																
ab00571						1																																										
ab00572						1																																										
ab00573																																																
ab00574																																																
ab00575						1																																										
ab00576																																																
ab00577						1																																										
ab00578																																																
ab00579								1																																								
ab00581																																																
ab00583																																																
ab00584																																																
ab00585																																																
ab00586																																																
ab00587																																																
ab00588																																																
ab00589						1																																										
ab00594																																																
ab00595																																																
ab00596																																																
ab00597																																																
ab00598						1																																										
ab00600																																																
ab00602																																																
ab00603								1																																								
ab00605																																																
ab00606																																																
ab00607																																																
ab00608																																																
ab00609																																																
ab00610																																																
ab00611																																																
ab00612																																																
ab00623																																																
ab00624								1																																								
ab00625																																																
ab00626								1																																								
ab00627								1																																								
ab00629								1																																								
ab00630								1																																								
ab00634																																																
ab00637						1																																										
ab00638						1																																										
ab00641						1																																										
ab00642																																																
ab00643																																																
ab00646		1																																														
ab00647						1		1																																								
ab00648								1																																								
ab00649								1																																								
ab00652																																															1	
ab00653						1																																										
ab00654																																																
ab00655						1																																										
ab00656																																																
ab00657						1																																										
ab00658																																																
ab00659																																																
ab00660																																																
ab00661																																																
ab00663																																																
ab00664																																																
ab00667						1																																										
ab00668						1																																										
ab00669						1																																										
ab00670																																																
ab00674																																																
ab00675																	1																															
ab00677																																																
ab00678																																																
ab00679																																																
ab00680								1																																								
ab00681																																																
ab00685																																																
ab00687																																																
ab00691																																																
ab00695																																																
ab00702		1																																														
ab00705																																																
ab00706																																																
ab00707		1				1																																										
ab00708																																																
ab00709																																																
ab00710		1																																														
ab00714																																																
ab00718						1																																										
ab00721						1																																										
ab00725																						1																										
ab00728																																																
ab00731																								1																								
ab00733		1																																														
ab00736						1																																										
ab00737						1																																										
ab00739								1																1																								
ab00741		1																						1																								
ab00743																																																
ab00748	1	1																																														
ab00750	1																1																															
ab00751		1																																														
ab00752																	1																															
ab00753		1																																														
ab00754		1																																														
ab00757		1																																														
ab00771		1															1																															
ab00773	1	1															1																															
ab00777																																																
ab00779																																																
ab00780																						1																										
ab00787		1																																														
ab00788		1																																														
ab00789		1																																														
ab00791		1																																														
ab00792		1																																														
ab00793		1																																														
ab00794		1																																					1									
ab00796		1															1																															
ab00797		1				1																																										
ab00799		1																																														
ab00802																																																
ab00804		1																																														
ab00806		1																																														
ab00807		1																																														
ab00809		1																																														
ab00810																																																
ab00811																																																
ab00812		1																																														
ab00813		1															1																															
ab00814		1																																														
ab00817		1																																														
ab00818		1															1																															
ab00821	1																																															
ab00823		1																																														
ab00824		1																																														
ab00826		1		1		1											1																															
ab00827		1																																														
ab00828		1																																														
ab00830		1																																														
ab00831		1																																														
ab00832																																																
ab00833																																																
ab00836		1		1		1											1																															
ab00838	1	1															1																															
ab00839	1	1															1																															
ab00840				1		1											1																															
ab00841				1		1											1																															
ab00842																						1																										
ab00843		1																																														
ab00845		1																																														
ab00846		1																1						1																								
ab00847		1																																														
ab00849		1																																														
ab00850		1																				1																										
ab00851		1																																														
ab00853		1																1				1																										
ab00854		1																																														
ab00855		1																						1																								
ab00856																								1																								
ab00857		1																				1																										
ab00858		1																				1																										
ab00859		1																1				1																										
ab00860																																																
ab00861		1																				1		1																								
ab00862		1																1				1																										
ab00863		1																																														
ab00864		1																				1																										
ab00865		1						1														1																										
ab00866		1																1																														
ab00867																						1																										
ab00868																						1																										
ab00869		1																																														
ab00870		1																																														
ab00871																						1																										
ab00873		1																																														
ab00874		1																1				1																										
ab00875		1																				1																										
ab00876		1																1				1																										
ab00877		1																																														
ab00878		1																																														
ab00879		1																																														
ab00880		1																				1																										
ab00881		1																																							1							
ab00882		1																1				1																										
ab00883		1																1				1																										
ab00884		1																1				1																										
ab00885		1																1				1																										
ab00886		1																1																														
ab00887		1																																														
ab00888		1																																														
ab00891		1																1																														
ab00894																																																
ab00896		1																				1																										
ab00899																						1																			1							
ab00900																																																
ab00901																						1																										
ab00902		1																																														
ab00903		1																1																														
ab00904		1																				1																										
ab00905		1																				1																										
ab00906		1																				1																										
ab00907																																																
ab00908		1																				1																										
ab00909		1																				1		1																								
ab00910		1																				1																										
ab00911																																																
ab00912																																																
ab00913																																																
ab00914		1		1													1							1																								
ab00915		1																1				1																										
ab00916																																																
ab00917		1																						1																								
ab00918		1																1																														
ab00919		1															1																															
ab00920		1																1																														
ab00921		1																1				1																										
ab00922		1																1																														
ab00923		1																1				1																										
ab00924		1																1																														
ab00925		1																																														
ab00926																																																
ab00927		1																						1																								
ab00928																																																
ab00929		1																																														
ab00930		1		1													1					1		1																								
ab00931		1																						1																								
ab00932		1																1																														
ab00933		1		1													1	1																														
ab00934		1																																														
ab00935		1																						1																								
ab00936		1		1																				1																								
ab00937		1																1																														
ab00938		1															1	1																														
ab00939		1		1																																												
ab00940		1																				1																										
ab00941		1																				1																										
ab00942		1																				1																										
ab00943																																																
ab00944		1						1														1		1																								
ab00945		1																																														
ab00947																																																
ab00948						1		1																																								
ab00949		1																																														
ab00950						1																1		1																								
ab00951		1																1																														
ab00952		1																1				1																										
ab00953		1																				1																										
ab00954		1																1				1																										
ab00955		1																						1																								
ab00956		1																				1																										
ab00957		1																1				1																										
ab00958																						1																										
ab00959		1																																														
ab00960		1															1							1																								
ab00961		1																																														
ab00962		1																						1																								
ab00963		1				1											1							1																								
ab00964																																																
ab00965		1																																														
ab00969		1																1				1																										
ab00970		1																1				1																										
ab00971																						1																										
ab00972																						1																										
ab00973		1																1				1																										
ab00974																						1																										
ab00976																																																
ab00977		1																1																														
ab00978																						1																										
ab00979																						1																										
ab00980																						1																										
ab00981																						1																										
ab00982		1																1				1																										
ab00983		1																1				1																										
ab00984																						1																										
ab00986																						1																										
ab00988		1																																														
ab00990		1																																														
ab00991		1																																														
ab00992		1																1																														
ab00994																																																
ab00995																																																
ab00996																																																
ab01007		1		1														1																														
ab01008		1		1														1																														
ab01009																	1																															
ab01010		1		1														1																														
ab01011		1		1														1																														
ab01012						1		1														1		1																								
ab01013		1		1														1																														
ab01014		1		1														1																														
ab01015		1		1																																												
ab01016		1		1																																												
ab01017		1		1																																												
ab01018		1		1																																												
ab01019		1		1														1																														
ab01020		1																1																														
ab01021																																																
ab01022		1																1																														
ab01023																																																
ab01026		1																1				1		1																								
ab01028		1																																														
ab01029																																																
ab01034		1															1	1																														
ab01035		1				1																																										
ab01037	1	1															1																															
ab01039		1																1																														
ab01045																																																
ab01054	1	1																																														
ab01055																																																
ab01056																																																
ab01063		1																1																														
ab01064		1																1																														
ab01065		1															1	1																														
ab01066		1															1																															
ab01067		1																1																														
ab01070		1																1																														
ab01073																																																
ab01078																	1																															
ab01080		1																																														
ab01084		1				1																1																										
ab01087		1																1																														
ab01108		1																																														
ab01111																																																
ab01112		1																																														
ab01120																																																
ab01123								1																																								
ab01126																																																
ab01128																																																
ab01129								1																																								
ab01130																																																
ab01131																																																
ab01134								1										1																														
ab01144																	1																															
ab01149		1															1																															
ab01152								1																																								
ab01160								1																																								
ab01183																	1																															
ab01184																																																
ab01202		1																																														
ab01217																																																
ab01238		1		1													1					1																										
ab01262																																											1		1			
ab01269											1																																					
ab01272																																																
ab01274		1		1														1																														
ab01276		1																																														
ab01277																																																
ab01278																																																
ab01279		1																																														
ab01280		1																																														
ab01281		1																																														
ab01282		1																				1																										
ab01283																																																
ab01284		1						1																																								
ab01285																																																
ab01286		1						1																																								
ab01287		1																				1																										
ab01289																						1																										
ab01290		1																																														
ab01291																																																
ab01292		1																				1																										
ab01293																																																
ab01296																																																
ab01297																																																
ab01298																																																
ab01299																																																
ab01300		1																						1																								
ab01304																																																
ab01307																																																
ab01310		1																																														
ab01314		1																																														
ab01316		1																																														
ab01318																																																
ab01325																																																
ab01330		1																																														
ab01331		1																																														
ab01332		1																1																														
ab01333	1	1																																														
ab01334		1																1																														
ab01335		1																																														
ab01336		1																1																														
ab01337	1	1															1																															
ab01340		1																																														
ab01362		1																																														
ab01363		1		1													1																															
ab01364						1		1																1																								
ab01365								1																																								
ab01366		1																																														
ab01367		1																1																														
ab01368																																																
ab01369						1		1																																								
ab01371						1		1																1																								
ab01372						1		1																1																								
ab01373						1		1																																								
ab01375		1																1																														
ab01377						1		1																1																								
ab01378								1																																								
ab01379						1		1																1																								
ab01380		1																																														
ab01381						1		1																1																								
ab01382		1																1																														
ab01383						1		1																1																								
ab01384						1		1																1																								
ab01385		1															1																															
ab01387								1																																								
ab01388						1		1																1																								
ab01389		1																1																														
ab01390		1																																														
ab01391						1		1																1																								
ab01393								1																																								
ab01394						1																																										
ab01395						1		1																1																								
ab01396						1		1																1																								
ab01397						1		1																1																								
ab01398						1		1																1																								
ab01399						1		1																1																								
ab01400						1		1																1																								
